Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
66,9.7,15,3,,41,,10,8.3,18.3,,,,,
67,11.6,16.4,5.8,,35,,9.3,6.1,14.8,,,,,
68,13.5,18.8,6,,33,,8.9,6.3,14.8,,,,,
69,13.5,17,8.6,,27,,10,11.9,22.2,,,,,
70,12.1,16.8,7,,27,,9.8,10.2,25.9,,,,,
71,11.4,16.4,5.8,,22,,10,8.9,18.3,,,,,
72,12.7,18.2,6.4,,17,,10,8.5,22.2,,,,,
73,13.6,19.4,6.6,,19,,9,5.9,14.8,,,,,
74,16.4,22.4,8.4,,20,,8.5,9.8,29.4,,,,,
75,17.4,21.4,11.6,,23,,10,7.2,25.9,,,,,
76,16.7,21.2,13,,26,,9.8,10.9,18.3,,,,,
77,15.4,20.2,11.6,,,,9.5,11.1,22.2,,,,,
78,16.8,21.2,11,,34,,9.5,7.8,18.3,,,,,
79,18.3,21,14,,31,,10,12,22.2,,,,,
80,16.4,21,11.4,,44,,9.8,14.3,40.7,55.4,,,,
81,14.8,20,11,,40,0.51,9.8,11.3,29.4,,,,,
82,14.7,19.2,9.6,,21,0.25,10.1,11.9,25.9,,,,,
83,14.8,18.6,10.8,,26,,10,13.5,37,,,,,
84,10,14.6,3,,63,0.51,9,14.4,33.5,,,,,
85,7.4,12.2,2.6,,65,18.03,9.3,17.8,44.6,,,,,
86,10.7,16.4,5,,57,,10,10.7,18.3,,,,,
87,11.4,16.4,7,,64,,9.2,9.4,22.2,,,,,
88,12.2,15.6,7,,54,20.57,9.8,9.3,21.7,,,,,
89,12.3,16,9,,51,,10,7.2,18.3,,,,,
90,15.1,18,9.6,,41,,10,11.9,22.2,,,,,
91,10.4,13.1,8.8,,79,1.52,8.4,6.9,18.3,,,,,
92,11.2,16.6,6.8,,50,14.48,8.7,16.3,40.7,,,,,
93,12.1,16.5,7,,35,1.27,10.1,26.3,44.6,,,,,
94,12.9,17.5,7.7,,40,58.41,9.5,11.9,26.1,,15,,5,
95,13.5,18.2,8.4,,45,,10.1,13.1,44.6,,,,,
96,15.2,20.4,7,,48,7.11,9.7,10,40.7,,,,,
97,17.2,21.4,12,,26,3.3,10,15.7,29.4,,,,,
98,15.7,20,10.6,,33,,10.1,15.4,33.5,,,,,
99,13.1,18.4,7.4,,41,,10,28.7,48.2,,,,,
100,15.8,21,8.6,,40,,9.5,7.2,29.4,,,,,
101,11.8,16,8,,74,4.32,8.5,12.2,44.6,,,,,
102,6.1,9.4,3,,83,12.95,6.4,17.2,25.9,,,,,
103,4,5.4,2,,88,4.32,4.3,8.5,37,55.4,,,,
104,6.3,8.1,3.6,,90,32,4.2,7.8,22.2,,,,,
105,11.6,17,6.6,,75,4.06,7.2,6.9,22.2,,,,,
106,14.3,18.5,7.6,,36,,9.7,12.8,33.5,,,,,
107,12,18,7,,51,,10,17.2,40.7,,,,,
108,11.7,16.6,5.8,,49,,9.5,8.1,14.8,,,,,
109,14,18,9.4,,44,,9,9.8,18.3,,,,,
110,16.8,22,10.6,,37,,10,9.6,22.2,,,,,
111,15.3,21.2,10.8,,46,,9.7,14.3,51.9,,,,,
112,16.8,21,10,,38,12.19,10,7,18.3,,,,,
113,18.1,22.4,13.2,,37,,10,8,22.2,,,,,
114,20.1,24.6,13.8,,31,,10,8.7,18.3,,,,,
115,21.5,26,17,,24,,10,12.8,25.9,,,,,
116,22.1,26.6,16.2,,25,,10.1,16.5,40.7,,,,,
117,19.1,24.6,14,,43,,9.8,14.1,48.2,,,,,
118,19,24.2,13.6,1005.7,50,6.1,10,7.2,14.8,,,,,
119,21.6,26.5,18,,33,,9.8,12.6,48.2,,,,,
120,16.8,20.2,13,,58,1.78,9.5,11.9,44.6,,,,,
121,16.7,20.6,11.8,,37,6.6,10,21.1,44.6,,,,,
122,16.7,21,12,,34,,10.1,13.3,44.6,,,,,
123,17.4,22.6,12,,36,,9.8,11.9,29.4,,,,,
124,16.3,20.5,12,,51,1.52,9.7,10.9,25.9,,,,,
125,15.2,19.7,10.2,1005.7,46.8,96.25,9.2,12.4,32.8,,17,1,11,
126,18.7,24,11,,33,7.11,10,15,33.5,,,,,
127,19.4,25,14,,35,,10,15.4,44.6,,,,,
128,18.2,22.2,15,,41,0.76,10,8.9,33.5,,,,,
129,21.2,27,13,,23,1.27,10,15.6,37,,,,,
130,24.5,28.4,16.6,,19,,9.3,6.5,14.8,,,,,
131,23.3,27.2,17,,26,,8.2,17,40.7,,,,,
132,19.2,23,15,,28,,10,23.5,37,,,,,
133,20.2,25.4,14.6,,29,,10,28.3,48.2,,,,,
134,23.3,28,14.6,,23,,10,11.1,29.4,,,,,
135,26.1,30.4,22,,17,,10,16.5,33.5,,,,,
136,21.8,28.6,14.7,,20,,9.5,21.7,40.7,,,,,
137,17.3,22.4,10.4,,33,,10.3,31.9,59.4,,,,,
138,20.1,26.4,10.6,,20,,10,11.5,33.5,,,,,
139,20.6,26,15,,29,,10,15,29.4,,,,,
140,21.4,26.2,15.8,,28,,10,10.7,25.9,,,,,
141,23.6,29.2,17,,20,,9.7,13.3,25.9,,,,,
142,24.4,31.4,18,,26,,10.1,12.2,25.9,,,,,
143,23.1,28,17,,34,,10.1,7.4,18.3,,,,,
144,23.6,29.6,17,,33,,10,14.3,37,,,,,
145,18.1,22,14,,55,13.72,9.3,9.8,18.3,,,,,
146,22.3,27.4,15,,39,1.02,7.4,7.8,14.8,,,,,
147,27,32.4,18.8,,24,,8.5,8.1,14.8,,,,,
148,28.9,34.6,22,,15,,10,11.7,37,,,,,
149,30.2,35,24,,13,,10.1,14.3,29.4,51.9,,,,
150,30.9,35,26.6,,12,,10,12.4,25.9,,,,,
151,31.4,36.2,24.5,,12,,10,13.3,44.6,,,,,
152,31.2,35.4,24.2,,13,,10,11.5,18.3,,,,,
153,30.6,35.4,20.5,,14,,10,8.1,22.2,,,,,
154,30.9,36,24.4,,13,,10.1,9.1,18.3,,,,,
155,31.9,37,25.2,,13,,10.1,10.7,22.2,,,,,
156,30.8,36.8,25,,10,,10,12.2,29.4,,,,,
157,24.3,29.4,17.8,,24.2,23.88,9.8,13.7,30.4,,8,,7,
158,30.8,36,23.2,,8,,10,14.6,40.7,,,,,
159,30.6,36.4,24.5,,14,,10,11.7,46.5,64.8,,,,
160,32.7,38.6,24.6,,10,,10,15.4,40.7,,,,,
161,32.8,37,28,,8,,10,15.7,33.5,,,,,
162,31.7,37,25,,9,,10.1,20,40.7,,,,,
163,26.8,32.5,17,,18,,9.8,25,44.6,,,,,
164,23.8,31.4,15.8,,27,,10,15.6,29.4,,,,,
165,25.6,30.6,18.8,,23,,9.3,8.7,18.3,,,,,
166,27.4,31.6,21.8,,20,,10,10.9,22.2,,,,,
167,29.4,33.4,23.4,,16,,10,12.6,25.9,,,,,
168,29.7,34.4,23.4,,14,,10.1,10,22.2,,,,,
169,30.4,35.6,24,,13,,10.1,12,22.2,,,,,
170,30.5,35.6,24,,11,,10,10.4,18.3,,,,,
171,31.1,37,24.6,,9,,9.7,12.6,22.2,,,,,
172,30.4,37,23.8,,12,,10,18,40.7,,,,,
173,30.3,36.6,22.6,,14,,10,11.7,29.4,,,,,
174,31.9,37,24,,12,,10.1,10.6,22.2,,,,,
175,31.3,37,25.6,,14,,10,9.4,25.9,,,,,
176,32.8,38.6,26,,12,,10,12.8,29.4,,,,,
177,33.1,38.2,27,,9,,9.8,14.4,33.5,,,,,
178,28.7,33,23.6,,11,,10,24.4,51.9,,,,,
179,27.3,33,21.8,,20,,10,23.9,44.6,,,,,
180,28.4,34,20.2,,20,,10,11.1,25.9,,,,,
181,30.1,35,23,,18,,9.7,8.3,18.3,,,,,
182,32.3,39.4,23,,14,,10,10.9,22.2,,,,,
183,27.3,34.4,20.8,,28,,9.3,19.3,29.4,,,,,
184,26.7,32.4,19.4,,31,,10,10.9,22.2,,,,,
185,27.6,32.2,20.5,,26,,10,13.3,25.9,,,,,
186,26.9,33,20.4,,26,,10,15.9,29.4,,,,,
187,28.3,34,20.6,,24,0.76,10,8.3,22.2,,,,,
188,29.6,35.1,22.7,,16.4,0.76,9.9,13.9,30,,1,,,
189,29.8,36,23,,20,,9.7,13.1,25.9,,,,,
190,27.2,33,19.6,,25,,8.9,15,29.4,,,,,
191,29.1,35.6,21.7,,24,,9,12.4,22.2,,,,,
192,30.5,35.4,23.5,,20,,10,10.4,18.3,,,,,
193,29.1,33,25,,19,,10,11.1,18.3,,,,,
194,29.2,32.8,25,,19,,10,10.7,22.2,,,,,
195,29.2,34.4,23.8,,20,,9.8,8.7,18.3,,,,,
196,31.3,37.2,24.8,,17,,10,9.4,22.2,,,,,
197,32.9,38,26,,16,,10,10.7,18.3,,,,,
198,31.6,36.4,25.6,,19,,10,9.8,18.3,,,,,
199,30.2,35.2,24.8,,23,,10.1,14.6,29.4,,,,,
200,29.6,33.5,24.2,,27,,10,15.6,29.4,,,,,
201,29.8,34.6,25.2,,25,,9.8,15,44.6,,,,,
202,30,35.6,24.4,,22,,10,12.8,37,55.4,,,,
203,29.2,35.6,23,,26,,10,12,22.2,,,,,
204,27.4,32.6,22.4,,33,0.25,10,12.6,18.3,,,,,
205,29.4,34.4,23.8,,25,,10,9.6,14.8,,,,,
206,31.9,37.2,24.8,,18,,10,9.3,14.8,,,,,
207,33.2,38.6,27.2,,16,,10,8.9,18.3,,,,,
208,32.4,37,27,,16,,10,9.3,18.3,,,,,
209,31.4,37,25.5,,15,,10,10.7,18.3,,,,,
210,33.5,38.4,25.6,,12,,10,9.1,25.9,,,,,
211,32.6,38,25.8,,18,,10,10.7,22.2,,,,,
212,32.7,37.4,25.2,,19,,10,13.3,44.6,,,,,
213,33.7,38.4,28.2,,17,,10,12.6,33.5,,,,,
214,33.3,38.4,28,,17,,10,11.3,25.9,,,,,
215,34.2,40.1,28,,13,,10.3,10.4,33.5,,,,,
216,34.8,40.6,26.4,,12,,10,10.7,22.2,,,,,
217,34.6,39.2,27.8,,12,,10.1,10.9,18.3,,,,,
218,31.4,38.4,23,,25,,10,15.7,37,,,,,
219,28.5,34,20.8,,33,,10,15,,,,,,
220,31.1,36.3,24.8,,20.1,0.25,9.9,11.7,24.7,,4,,5,
221,29.7,34,24,,28,,10,11.1,18.3,,,,,
222,32.7,38,26.4,,18,,10,10.7,18.3,,,,,
223,32.2,38.2,24,,17,,10.1,15.7,25.9,,,,,
224,28.4,34.4,20.8,,32,,10.1,13.5,22.2,,,,,
225,27.9,34.4,21,,29,,10,16.3,33.5,,,,,
226,27.1,34.2,20,,33,,10,18.7,25.9,,,,,
227,26.6,33.2,18.6,,36,,10,13.7,29.4,,,,,
228,28.1,33,21,,29,,10,11.7,22.2,,,,,
229,29.6,34.2,23.4,,23,,10,9.6,22.2,,,,,
230,31.7,37,25.4,,19,,10.1,9.3,18.3,,,,,
231,32.9,38,25.8,,18,,10,10.9,18.3,,,,,
232,32.9,39.6,26,,19,,9.8,12.4,25.9,,,,,
233,30.8,37,22.4,,23,,10,10,22.2,,,,,
234,30.3,38.1,23,,24,,10,12.4,18.3,,,,,
235,27.9,36,20,,31,,9.8,18.7,25.9,,,,,
236,27.2,33.5,19.6,,34,,10,14.1,22.2,,,,,
237,27.5,34,21.7,,34,,10,14.1,29.4,,,,,
238,27.9,33,21.2,,31,,10,11.5,22.2,,,,,
239,30.2,35,24.9,,22,,10,10.6,22.2,,,,,
240,32.1,37,25.1,,17,,10,9.6,18.3,,,,,
241,32.8,38.8,26,,15,,10,13.3,25.9,,,,,
242,32.1,38.2,25,,15,,10,13.3,22.2,,,,,
243,27.4,35.6,18,,24,,9.8,19.1,29.4,,,,,
244,23.8,33.6,17,,32,,9.5,20.6,44.6,,,,,
245,22.6,28.7,16.8,,34,,10.1,14.6,25.9,,,,,
246,24.7,29.2,18.8,,28,,10,10.2,18.3,,,,,
247,26.2,30.4,20,,20,,10,9.4,22.2,,,,,
248,27.4,32.7,22.5,,18,,10.1,8.5,18.3,,,,,
249,28.6,34.4,22.4,,18,,9.8,10.6,18.3,,,,,
250,26.1,31.3,21,,24,,10,10.9,18.3,,,,,
251,24.9,29.8,20,,27,,10,11.1,22.2,,,,,
252,28.7,34.7,22,,24.9,,10,12.8,23.4,,,,,
253,24.2,29,19,,24,,10,8.1,18.3,,,,,
254,25.7,30.6,19.4,,22,,10,8.5,18.3,,,,,
255,27.2,32.5,20.9,,19,,10,9.1,14.8,,,,,
256,26.8,32,21.5,,15,,10,9.6,18.3,,,,,
257,27.2,32.2,21,,14,,10,10.7,18.3,,,,,
258,28.5,34.6,23,,15,,10,11.7,25.9,,,,,
259,30.6,36.2,23,,14,,9.7,13.3,55.4,74.1,,,,
260,30.2,35,25.6,,,,10,9.8,22.2,,,,,
261,27.6,33.1,22,,20,,9.8,10.2,18.3,,,,,
262,26.5,31.5,20.4,,27,,9.5,10.7,18.3,,,,,
263,25.7,31,21,,28,,9.7,7.4,18.3,,,,,
264,27.6,32.8,22.1,,21,,10,8.9,18.3,,,,,
265,27,32.1,21,,20,,10,9.8,22.2,,,,,
266,25.1,29.6,20,,27,,10,8.5,18.3,,,,,
267,25.7,31.2,20,,23,,10,10.7,22.2,,,,,
268,24.6,29.6,19.7,,24,,9.8,8.7,18.3,,,,,
269,24.8,30.2,20,,22,,10,8.3,18.3,,,,,
270,24.7,30,18.5,,25,,10,7.8,14.8,,,,,
271,26.2,32,20.4,,24,,10,8,14.8,,,,,
272,26.6,32,19.6,,19,,10,9.6,22.2,,,,,
273,26.3,31.2,20.6,,22,,10,8.3,18.3,,,,,
274,25.4,30,20.6,,29,,9,8.1,14.8,,,,,
275,25.2,29,21,,25,,10,10,18.3,,,,,
276,25.4,30.3,19.4,,25,,10,8.5,14.8,,,,,
277,25.9,31.2,20.3,,20,,10,7.4,14.8,,,,,
278,26.4,32,21,,17,,9.5,8.1,14.8,,,,,
279,25.6,32.2,17,,19,,10,14.4,33.5,,,,,
280,20.9,27.6,16,,41,,8.4,19.3,33.5,,,,,
281,18.8,22.1,15.6,,38,,10,11.9,18.3,,,,,
282,19.1,22.3,14.8,,20,,10,8.9,22.2,,,,,
283,25.7,30.8,20.1,,22.7,,9.8,9.8,20.6,,1,,,
284,20.6,25.8,15,,22,,10,7.4,18.3,,,,,
285,22.8,29,16,,21,,10,9.4,33.5,,,,,
286,24.7,30,17.7,,21,,10,17,37,,,,,
287,23.9,27.3,18.8,,26,,9.5,11.9,44.6,,,,,
288,19.8,25.2,13,,38,,9.8,13.7,37,55.4,,,,
289,18.4,23.2,13,,48,1.27,10,12.2,37,,,,,
290,17.9,23.4,13.5,,53,1.02,9.5,10.4,22.2,,,,,
291,16.9,22.2,12,,55,1.52,9.5,14.4,33.5,,,,,
292,13.1,16.6,10,,73,11.94,9.2,12,29.4,,,,,
293,14.9,19.7,8.8,,54,0.76,9.7,6.9,14.8,,,,,
294,15.9,20.8,11,,43,,7.7,7.8,18.3,,,,,
295,16.2,21.6,11,,32,,7.9,4.8,11.1,,,,,
296,16.6,22.2,10.9,,25,,7.2,6.9,14.8,,,,,
297,16.9,23.1,10.4,,22,,7.1,5.4,18.3,,,,,
298,18,24,11.4,,19,,7.2,6.9,14.8,,,,,
299,17.9,23.4,12.4,,18,,6,7.8,14.8,,,,,
300,17.6,23.7,12,,19,,7.9,6.9,11.1,,,,,
301,17.6,23.4,11.5,,16,,9.7,8.3,14.8,,,,,
302,17.8,24.3,11.4,,17,,10,6.7,18.3,,,,,
303,19.4,27,11.2,,16,,7.7,5.7,11.1,,,,,
304,18.8,25.5,12.8,,20,,9.7,8,14.8,,,,,
305,17.3,22.3,12,,29,,9,6.7,14.8,,,,,
306,16.8,22,12,,33,,9.2,4.8,14.8,,,,,
307,17.2,22,12.8,,33,,9.5,5.9,11.1,,,,,
308,17.9,23.7,12.4,,32,,9.3,6.5,14.8,,,,,
309,18.7,24.8,12.6,,28,,8.4,5.6,11.1,,,,,
310,19.5,25.4,13,,24,,8.5,9.4,25.9,,,,,
311,18.8,23.6,14.8,,25,,8.7,7,14.8,,,,,
312,18.1,23.3,13.5,,25,,10,6.5,11.1,,,,,
313,18.2,24,12,,25,,10,4.8,11.1,,,,,
314,19.1,25,12.6,,24,,8,5.4,14.8,,,,,
315,18.3,23.8,12.6,,30.2,16.51,8.9,8.2,19.8,,7,,5,
316,18.9,24.5,13.7,,22,,9,7.8,14.8,,,,,
317,19,25.5,12.8,,20,,7.7,4.4,14.8,,,,,
318,18.4,24.8,13,,23,,6.9,5,14.8,,,,,
319,18.8,24.4,13.6,,21,,9.3,5.7,14.8,,,,,
320,18.8,23.3,14,,20,,10,8.5,18.3,,,,,
321,17.6,22.5,12.5,,23,,10,6.9,14.8,,,,,
322,18,21.2,13.4,,23,,9.2,11.9,29.4,,,,,
323,14.9,20.3,9,,47,,10,22.4,40.7,,,,,
324,13.7,18,9.4,,46,,9.2,5.4,14.8,,,,,
325,13.4,17.8,11,,66,3.56,6.8,9.1,14.8,,,,,
326,12.1,18,8,,71,1.02,6.6,13.1,33.5,,,,,
327,10.8,13,8,,70,,7.1,8,18.3,,,,,
328,8.3,11,6,,80,2.03,7.1,11.5,18.3,,,,,
329,9,13,5,,64,1.52,8.2,8.1,22.2,,,,,
330,9.1,12.3,5.8,,58,,8.7,6.7,18.3,,,,,
331,10.1,13.1,7,,49,,9.8,6.5,11.1,,,,,
332,10.1,13.1,8,,55,,8.2,7.2,18.3,,,,,
333,9.9,13.5,6,,57,,7.1,8,22.2,,,,,
334,9.1,11,7,,56,0.25,10,6.5,22.2,,,,,
335,9.3,12,6,,48,,9.8,7.6,18.3,,,,,
336,6.5,8.1,6,,91,13.21,3.1,7,14.8,,,,,
337,7.8,10.3,6,,82,22.61,5.3,7.8,18.3,,,,,
338,7.8,10,5,,82,2.03,3.7,3.9,14.8,,,,,
339,7.1,11,4.9,,77,0.25,4,8.1,18.3,,,,,
340,7.3,10.5,3.8,,69,,3.5,5.7,14.8,,,,,
341,8,10,5.8,,75,,2.4,5.6,18.3,,,,,
342,7.9,11.6,5,,72,0.51,7.2,12.6,33.5,,,,,
343,6.8,9.1,4.8,,66,,6.3,6.9,14.8,,,,,
344,5.8,7,4.6,,89,9.91,4.8,7.2,25.9,,,,,
345,8.5,13,5,,77,15.49,6.1,5.6,14.8,,,,,
346,11.4,15.1,8,,56.6,72.39,7.2,8,19.4,,14,,,1
347,9.3,14,5,,70,,2.9,4.3,14.8,,,,,
348,10.2,14.3,6.4,,72,,2.6,6.3,14.8,,,,,
349,8.9,11,7,,81,1.02,2.9,6.7,18.3,,,,,
350,8,12,4.9,,74,2.54,4.8,5.6,14.8,,,,,
351,8.7,11,5.9,,67,,4.3,9.1,22.2,,,,,
352,4.5,9,2,,84,1.52,5.1,12.2,22.2,,,,,
353,3.3,5.3,2,,86,14.73,6.3,7.4,18.3,,,,,
354,3.7,7,0.4,,67,1.52,6.4,7,18.3,,,,,
355,3.9,8,,,64,,5.5,6.3,18.3,,,,,
356,4.4,8.2,1.5,,67,,4.2,10,14.8,,,,,
357,3.7,7.5,1,,68,,6.1,9.8,22.2,,,,,
358,3.3,8,-1.3,,63,,7.7,7.8,18.3,,,,,
359,3.8,6.3,0.6,,63,,4.3,6.1,14.8,,,,,
360,4.2,7.3,0.5,,68,,3.1,6.7,14.8,,,,,
361,4.6,8,2,,63,,3.4,6.5,14.8,,,,,
362,3.9,6,2.6,,64,,4.3,6.3,18.3,,,,,
363,5.9,9,2.6,,78,6.1,2.7,6.5,14.8,,,,,
364,6.6,9.2,4,,79,,2.4,7.6,18.3,,,,,
365,6,9.1,3,,74,2.29,5.6,8.7,22.2,,,,,
366,5.9,9.6,2.4,,64,0.25,6.3,5.4,14.8,,,,,
367,4.9,9,2,,63,,5.8,6.5,14.8,,,,,
368,4.4,8,0.9,,64,,4.2,4.8,14.8,,,,,
369,4.8,8,2.5,,66,,2.9,7,14.8,,,,,
370,5.3,9,1,,79,6.86,4.2,8.5,48.2,,,,,
371,1.2,6.1,-2,,58,2.29,10.1,28,48.2,,,,,
372,1.6,7,-3,,45,,10,6.3,18.3,,,,,
373,2.8,7,,,43,,7.4,7,11.1,,,,,
374,3.2,9,-1.3,,48,,6.9,4.4,14.8,,,,,
375,3.5,8.5,-1,,57,,4.8,3.3,11.1,,,,,
376,4.5,10,,,57,,3.7,4.6,11.1,,,,,
377,5.6,11.2,1.8,,51,,3.9,5.2,11.1,,,,,
378,5,8.8,1.7,,66,39.12,5,7.5,18.3,,10,1,1,
379,8.7,14,2.2,,,10.1,8.3,14.8,,,,,,
380,9.5,15.1,4.4,,,8.4,5.4,14.8,,,,,,
381,9.9,15,4.7,,,5.3,6.1,14.8,,,,,,
382,10.9,16.1,5.8,,,6.9,7.2,14.8,,,,,,
383,10.3,15.2,7,,,6.3,8.3,18.3,,,,,,
384,10.7,13,9,,16.26,9.3,13.1,29.4,,,,,,
385,8.3,9.4,6,,6.1,5.3,4.8,14.8,,,,,,
386,10.2,16,4.9,,4.32,4.7,4.8,14.8,,,,,,
387,12.6,19,6.6,,,8.5,7.6,22.2,,,,,,
388,12.9,20,6.4,,,10,6.7,14.8,,,,,,
389,14.7,19.5,9,,,9.8,5,14.8,,,,,,
390,13.7,19.2,7.9,,,9.2,6.3,14.8,,,,,,
391,14.1,20.1,8,,,8.9,5.6,14.8,,,,,,
392,15.5,20,10,,,7.7,7,14.8,,,,,,
393,16.1,20.5,12,,,10,13.1,25.9,,,,,,
394,10.2,16,4,,,9.5,17.2,44.6,,,,,,
395,5.9,10,3,,,10,28.2,37,,,,,,
396,7.3,8.4,6,,,10,6.3,11.1,,,,,,
397,8.8,13.5,4,,,9.7,12.2,22.2,,,,,,
398,7.6,13,2,,,10,27,48.2,,,,,,
399,5.2,11,-0.2,,,10,22.4,40.7,,,,,,
400,2.3,5.1,-0.3,,,8.5,11.3,18.3,,,,,,
401,4.4,8.7,,,,9.3,7.4,18.3,,,,,,
402,6.4,10.8,1.8,,,8.9,7.2,14.8,,,,,,
403,8.8,14,2.5,,,7.7,5.9,14.8,,,,,,
404,9.8,14.5,5.1,,26.68,8.6,10.2,21.1,,,,,,
405,4.9,10.7,1,,,4.2,4.6,11.1,,,,,,
406,5.3,11.1,0.6,,,4.8,4.1,11.1,,,,,,
407,5.4,12.6,0.9,,,5.6,6.5,14.8,,,,,,
408,4,9.3,,,,8.5,13.9,25.9,,,,,,
409,2.8,7.1,-1,,,8.2,8.9,14.8,,,,,,
410,2.9,7.3,-0.5,,,6.4,6.5,11.1,,,,,,
411,3.1,9.6,-1.4,,,6.4,5.6,14.8,,,,,,
412,2.7,8,-1,,,5.5,5.6,11.1,,,,,,
413,2.5,8,-1.5,,,4.5,5.6,11.1,,,,,,
414,2.9,8.4,-1.4,,,4.5,5.9,11.1,,,,,,
415,4.4,11,-0.7,,,4,5,11.1,,,,,,
416,4.4,11,,,,3.2,4.1,11.1,,,,,,
417,5.3,11,1,,,3.9,5,11.1,,,,,,
418,5.9,10.7,1.5,,,3.7,5.2,14.8,,,,,,
419,7.6,12,3.1,,,6.4,4.6,18.3,,,,,,
420,9.7,15,4,,,8.9,6.7,14.8,,,,,,
421,7.5,12.7,4,,,8.2,6.3,18.3,,,,,,
422,9.2,13.5,3.8,,,10,17,37,,,,,,
423,9.4,13.2,5,,,10.1,13.3,25.9,,,,,,
